Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3183-S06,MOJAVE PANT ITB,1ST INLINE,PO3687,49,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",Bangladesh,Kadena Sportwear Ltd,3315-S11,DAKAR JERSEY,1ST INLINE,PO3687,86,,01/05/2026,KLIM,,,Not yet ready 
"Saturday, 25 April 2026",Bangladesh,Kadena Sportwear Ltd,3917-S02,SWITCHBACK CARGO PANT,1ST INLINE,PO3687,24,,01/05/2026,KLIM,,,Not yet ready 
"Sunday, 26 April 2026",,,,,,,,,,,,,
"Sunday, 26 April 2026",,,,Stay hotel at cumilla,,,,,,,,,
"Monday, 27 April 2026",,,,Go to chottogram  by car from cumilla  10 am,,,,,,,,,
"Monday, 27 April 2026",Bangladesh,Kadena(Fenix) Sportwear Ltd,P165-002,MENS HEATED VEST,PPM,P375878.KA,500,,,POLARIS,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena(Fenix) Sportwear Ltd,P166-002,WOMENS HEATED VEST,PPM,P375878.KA,500,,,POLARIS,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena(Fenix) Sportwear Ltd,3420-001, OVERRIDE VEST,PPM,PO3667,811,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena(Fenix) Sportwear Ltd,3423-001, OVERRIDE VEST e-FIRE,PPM,PO3667,1401,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena Sportwear Ltd,3391-001, OVERRIDE JACKET,ppm,PO3667,1202,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena Sportwear Ltd,3475-000, OVERRIDE JACKET e-FIRE,ppm,PO3667,1321,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena Sportwear Ltd,3394-001, OVERRIDE ALLOY  JACKET,ppm,PO3667,1001,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",Bangladesh,Kadena Sportwear Ltd,3302-001, ALLOY JACKET,ppm,PO3667,1165,,,KLIM,,,Not yet ready 
"Monday, 27 April 2026",,,,"Back to home by plane , reached home about  7pm",,,,,,,,,
"Tuesday, 28 April 2026",,,,No Schedule,,,,,,,,,
"Wednesday, 29 April 2026",,,,No Schedule,,,,,,,,,
"Thursday, 30 April 2026",,,,Go to Kadena by car and bus reached about ,,,,,,,,,
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,4105-000 ,INSTINCT BIB,ppm,PO3667,1001,,,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3109-S09,MOJAVE JERSEY,2ND INLINE,PO3687,86,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3122-S03,DAKAR JACKET,2ND INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3142-S05,DARKAR PANT OTB,2ND INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3143-S05,MOJAVE PANT,2ND INLINE,PO3687,49,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3182-S06,DAKAR PANT ITB,2ND INLINE,PO3687,55,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3183-S06,MOJAVE PANT ITB,2ND INLINE,PO3687,49,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3315-S11,DAKAR JERSEY,2ND INLINE,PO3687,86,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,3917-S02,SWITCHBACK CARGO PANT,2ND INLINE,PO3687,24,,01/05/2026,KLIM,,,Not yet ready 
"Thursday, 30 April 2026",Bangladesh,Kadena Sportwear Ltd,P415-001,MENS HEATED LINER GLOVE,2ND INLINE,P375878.KA,1000,,16/05/2026,POLARIS,,,Not yet ready 
"Thursday, 30 April 2026",,,,"Back to home by bus & car, reached home about ",,,,,,,,,
"Friday, May 1, 2026", , , ,May Day, , , , , , , , , 
"Saturday, May 2, 2026", , , ,Go to Dhakarea by car and reached about 10:30  am, , , , , , , , , 
"Saturday, May 2, 2026",Bangladesh,Flex/Dhakarea,P238-002 ,POLARIS RAC,FINAL,P301950,864,PASS, ,POLARIS, , , 
"Saturday, May 2, 2026",Bangladesh,Flex/Dhakarea,P177-001 ,STEALTH CAM,FINAL,P301950,576,PASS, ,POLARIS, , , 
"Saturday, May 2, 2026",Bangladesh,Flex/Dhakarea,P1293-000 ,HERITAGE C,FINAL,P301950,864,PASS, ,POLARIS, , , 
"Saturday, May 2, 2026",Bangladesh,Flex/Dhakarea,P1292-000,SHADOW LOG,FINAL,P301950,288,PASS, ,POLARIS, , , 
"Saturday, May 2, 2026", , , ,"Back to home by car, reached home about 7:30pm", , , , , , , , , 
"Sunday, May 3, 2026", , , ,No Schedule, , , , , , , , , 
"Monday, May 4, 2026", , , ,Go to Kadena by car and bus reached about 11am, , , , , , , , , 
"Monday, May 4, 2026",Bangladesh,Kadena Sportwear Ltd,3182-S06,DAKAR PANT ITB,1ST INLINE,PO3687,55,FAIL,01/05/2026,KLIM, , , 
